Plateforme,Asset,Quote,Datetime,Bid,BidAmount,Ask,AskAmount,OpenInterest
Coinbase,eth_usd,363.28,1601535884.567521,363.28,0,363.29,0,354.71
Coinbase,eth_eur,309.68,1601535884.568315,309.68,0,309.69,0,302.41
Coinbase,btc_usd,10829.05,1601535884.568704,10829.04,0,10829.05,0,10695.19
Coinbase,btc_eur,9233.42,1601535884.56918,9232.31,0,9233.42,0,9127.62
Coinbase,btc_usd,10829.05,1601535886.491795,10829.04,0,10829.05,0,10695.19
Coinbase,btc_usd,10829.05,1601535886.539923,10829.04,0,10829.05,0,10695.19
Coinbase,btc_usd,10829.05,1601535886.54429,10829.04,0,10829.05,0,10695.19
Coinbase,btc_usd,10829.05,1601535886.551715,10829.04,0,10829.05,0,10695.19
Coinbase,btc_usd,10829.05,1601535886.552738,10829.04,0,10829.05,0,10695.19
Coinbase,btc_usd,10829.05,1601535886.553117,10829.04,0,10829.05,0,10695.19
Coinbase,eth_eur,309.69,1601535886.594408,309.68,0,309.84,0,302.41
Coinbase,btc_usd,10829.04,1601535887.141518,10829.04,0,10829.05,0,10695.19
Coinbase,btc_usd,10829.05,1601535887.339324,10829.04,0,10829.06,0,10695.19
Coinbase,btc_usd,10829.06,1601535887.341512,10829.04,0,10829.06,0,10695.19
Coinbase,btc_usd,10829.06,1601535887.342516,10829.04,0,10829.06,0,10695.19
Coinbase,btc_usd,10829.06,1601535887.374501,10829.05,0,10829.06,0,10695.19
Coinbase,btc_usd,10829.06,1601535887.37694,10829.05,0,10833.79,0,10695.19
Coinbase,btc_eur,9233.16,1601535887.397255,9232.82,0,9233.16,0,9127.62
Coinbase,eth_usd,363.34,1601535887.426632,363.33,0,363.34,0,354.71
Coinbase,btc_usd,10835.0,1601535888.280491,10834.99,0,10835.0,0,10695.19
Coinbase,btc_usd,10835.0,1601535888.769711,10834.99,0,10835.0,0,10695.19
Coinbase,btc_usd,10835.0,1601535888.770529,10834.99,0,10835.0,0,10695.19
Coinbase,btc_usd,10834.99,1601535889.081258,10834.99,0,10835.0,0,10695.19
Coinbase,btc_usd,10834.99,1601535889.274537,10834.99,0,10835.0,0,10695.19
Coinbase,btc_usd,10834.99,1601535889.276009,10834.99,0,10835.0,0,10695.19
Coinbase,btc_usd,10835.0,1601535890.191055,10834.99,0,10835.0,0,10695.19
Coinbase,btc_usd,10835.0,1601535890.324331,10834.99,0,10835.0,0,10695.19
Coinbase,btc_usd,10835.0,1601535890.446449,10834.99,0,10835.0,0,10695.19
Coinbase,eth_usd,363.34,1601535892.182666,363.33,0,363.5,0,354.71
Coinbase,eth_eur,309.84,1601535892.691925,309.83,0,309.89,0,302.41
Coinbase,eth_eur,309.89,1601535892.692446,309.83,0,309.93,0,302.41
Coinbase,eth_eur,309.93,1601535892.692797,309.83,0,309.93,0,302.41
Coinbase,btc_usd,10835.0,1601535894.248554,10834.99,0,10835.0,0,10695.19
Coinbase,eth_eur,309.87,1601535894.83536,309.87,0,309.93,0,302.41
Coinbase,btc_eur,9236.13,1601535895.155041,9235.13,0,9236.13,0,9127.62
Coinbase,eth_usd,363.47,1601535895.920722,363.46,0,363.47,0,354.71
Coinbase,btc_eur,9235.13,1601535895.933841,9235.13,0,9236.13,0,9127.62
Coinbase,btc_eur,9236.13,1601535896.175572,9235.13,0,9236.13,0,9127.62
Coinbase,eth_usd,363.46,1601535897.315144,363.46,0,363.47,0,354.71
Coinbase,eth_usd,363.46,1601535897.338802,363.46,0,363.47,0,354.71
Coinbase,eth_usd,363.46,1601535897.340026,363.46,0,363.47,0,354.71
Coinbase,eth_usd,363.46,1601535897.382262,363.46,0,363.47,0,354.71
Coinbase,eth_usd,363.46,1601535897.382788,363.37,0,363.47,0,354.71
Coinbase,eth_usd,363.46,1601535897.39777,363.37,0,363.47,0,354.71
Coinbase,btc_eur,9236.14,1601535897.485501,9235.22,0,9236.14,0,9127.62
Coinbase,btc_usd,10835.0,1601535897.592289,10834.99,0,10835.0,0,10695.19
Coinbase,btc_eur,9236.13,1601535899.947733,9235.29,0,9236.13,0,9127.62
Coinbase,btc_usd,10835.0,1601535900.32661,10834.99,0,10835.0,0,10695.19
Coinbase,btc_eur,9235.29,1601535900.885682,9235.29,0,9236.13,0,9127.62
Coinbase,btc_eur,9235.09,1601535901.275677,9235.09,0,9236.11,0,9127.62
Coinbase,btc_eur,9235.09,1601535901.276186,9235.09,0,9236.11,0,9127.62
Coinbase,btc_usd,10835.01,1601535902.729113,10835.0,0,10835.02,0,10695.19
Coinbase,btc_usd,10835.02,1601535902.729722,10835.0,0,10835.02,0,10695.19
Coinbase,eth_usd,363.3,1601535903.484515,363.28,0,363.3,0,354.71
Coinbase,eth_usd,363.29,1601535904.003533,363.29,0,363.3,0,354.71
Coinbase,btc_usd,10835.02,1601535904.018584,10835.01,0,10835.02,0,10695.19
Coinbase,btc_usd,10835.01,1601535905.194373,10835.01,0,10835.02,0,10695.19
Coinbase,eth_usd,363.3,1601535905.743256,363.29,0,363.3,0,354.71
Coinbase,eth_usd,363.3,1601535905.743815,363.29,0,363.3,0,354.71
Coinbase,eth_usd,363.3,1601535905.744172,363.29,0,363.43,0,354.71
Coinbase,eth_usd,363.36,1601535905.907308,363.36,0,363.47,0,354.71
Coinbase,eth_usd,363.32,1601535906.116381,363.32,0,363.41,0,354.71
Coinbase,btc_eur,9238.02,1601535908.166383,9236.74,0,9238.02,0,9127.62
Coinbase,btc_eur,9236.74,1601535909.483695,9236.74,0,9238.02,0,9127.62
Coinbase,btc_usd,10835.01,1601535912.194905,10835.01,0,10835.02,0,10695.19
Coinbase,btc_usd,10835.01,1601535912.195715,10835.01,0,10835.02,0,10695.19
Coinbase,btc_eur,9236.74,1601535915.096918,9236.74,0,9238.09,0,9127.62
Coinbase,eth_usd,363.41,1601535915.125443,363.4,0,363.41,0,354.71
Coinbase,eth_usd,363.41,1601535915.125875,363.4,0,363.41,0,354.71
Coinbase,btc_usd,10835.02,1601535915.138603,10835.01,0,10835.02,0,10695.19
Coinbase,btc_usd,10835.02,1601535915.385547,10835.01,0,10835.02,0,10695.19
Coinbase,eth_usd,363.41,1601535917.537671,363.4,0,363.41,0,354.71
Coinbase,btc_usd,10835.02,1601535918.288657,10835.01,0,10835.02,0,10695.19
Coinbase,eth_usd,363.4,1601535918.358571,363.4,0,363.41,0,354.71
Coinbase,btc_eur,9238.09,1601535918.385295,9237.14,0,9238.09,0,9127.62
Coinbase,eth_usd,363.4,1601535918.832932,363.4,0,363.41,0,354.71
Coinbase,eth_usd,363.4,1601535918.833374,363.4,0,363.41,0,354.71
Coinbase,eth_usd,363.41,1601535918.852905,363.4,0,363.41,0,354.71
Coinbase,btc_usd,10835.02,1601535919.729649,10835.01,0,10835.02,0,10695.19
Coinbase,eth_usd,363.41,1601535922.215867,363.4,0,363.41,0,354.71
Coinbase,btc_usd,10835.02,1601535922.81328,10835.01,0,10835.02,0,10695.19
Coinbase,eth_usd,363.41,1601535923.084822,363.4,0,363.41,0,354.71
Coinbase,btc_usd,10835.02,1601535923.170391,10835.01,0,10835.02,0,10695.19
Coinbase,btc_usd,10835.02,1601535923.955981,10835.01,0,10835.02,0,10695.19
Coinbase,eth_usd,363.41,1601535925.564295,363.4,0,363.41,0,354.71
Coinbase,eth_usd,363.41,1601535925.5672,363.4,0,363.41,0,354.71
Coinbase,eth_usd,363.41,1601535925.56768,363.4,0,363.41,0,354.71
Coinbase,eth_usd,363.41,1601535925.568341,363.4,0,363.41,0,354.71
Coinbase,btc_eur,9238.61,1601535926.027898,9237.91,0,9238.61,0,9127.62
Coinbase,eth_usd,363.41,1601535926.606032,363.4,0,363.41,0,354.71
Coinbase,eth_usd,363.41,1601535926.804429,363.4,0,363.41,0,354.71
Coinbase,eth_usd,363.41,1601535930.084761,363.4,0,363.41,0,354.71
Coinbase,eth_usd,363.41,1601535930.085251,363.4,0,363.41,0,354.71
Coinbase,eth_usd,363.41,1601535930.085914,363.4,0,363.41,0,354.71
Coinbase,eth_usd,363.41,1601535930.089951,363.4,0,363.46,0,354.71
Coinbase,btc_usd,10835.02,1601535930.761283,10835.01,0,10835.02,0,10695.19
Coinbase,eth_usd,363.41,1601535930.924821,363.41,0,363.45,0,354.71
Coinbase,btc_usd,10835.01,1601535931.551834,10835.01,0,10835.02,0,10695.19
Coinbase,btc_usd,10835.02,1601535932.881629,10835.01,0,10835.02,0,10695.19
Coinbase,btc_usd,10835.02,1601535933.456373,10835.01,0,10835.02,0,10695.19
Coinbase,eth_usd,363.41,1601535935.150066,363.4,0,363.41,0,354.71
Coinbase,eth_usd,363.41,1601535935.15464,363.4,0,363.43,0,354.71
Coinbase,eth_usd,363.43,1601535935.155156,363.4,0,363.44,0,354.71
Coinbase,eth_usd,363.44,1601535935.155525,363.4,0,363.45,0,354.71
Coinbase,eth_usd,363.45,1601535935.155883,363.4,0,363.45,0,354.71
Coinbase,btc_eur,9239.15,1601535936.060037,9237.74,0,9239.16,0,9127.62
Coinbase,btc_eur,9239.16,1601535936.061861,9237.74,0,9239.4,0,9127.62
Coinbase,btc_eur,9239.4,1601535936.062221,9237.74,0,9239.4,0,9127.62
Coinbase,btc_usd,10835.01,1601535944.078926,10835.01,0,10835.02,0,10695.19
Coinbase,btc_usd,10835.01,1601535944.079586,10835.01,0,10835.02,0,10695.19
Coinbase,eth_usd,363.41,1601535944.776799,363.4,0,363.41,0,354.71
Coinbase,eth_usd,363.41,1601535944.777295,363.4,0,363.56,0,354.71
Coinbase,eth_eur,309.93,1601535946.334602,309.93,0,309.94,0,302.41
Coinbase,btc_eur,9239.4,1601535946.471617,9238.34,0,9239.52,0,9127.62
Coinbase,btc_eur,9239.52,1601535946.472433,9238.34,0,9239.52,0,9127.62
Coinbase,eth_eur,309.94,1601535946.838082,309.93,0,309.94,0,302.41
Coinbase,eth_usd,363.64,1601535946.870779,363.56,0,363.65,0,354.71
Coinbase,eth_usd,363.65,1601535946.874137,363.56,0,363.66,0,354.71
Coinbase,eth_usd,363.66,1601535946.874507,363.56,0,363.67,0,354.71
Coinbase,eth_usd,363.67,1601535946.874891,363.56,0,363.68,0,354.71
Coinbase,eth_usd,363.68,1601535946.875274,363.56,0,363.69,0,354.71
Coinbase,eth_usd,363.69,1601535946.875674,363.56,0,363.69,0,354.71
Coinbase,eth_usd,363.69,1601535946.877383,363.56,0,363.69,0,354.71
Coinbase,eth_eur,309.94,1601535946.895313,309.93,0,309.94,0,302.41
Coinbase,eth_eur,309.94,1601535946.903299,309.93,0,309.94,0,302.41
Coinbase,eth_eur,309.94,1601535946.905263,309.93,0,309.94,0,302.41
Coinbase,eth_eur,309.94,1601535946.912926,309.93,0,309.94,0,302.41
Coinbase,eth_eur,309.94,1601535946.917371,309.93,0,309.94,0,302.41
Coinbase,eth_eur,309.94,1601535946.9468,309.93,0,309.94,0,302.41
Coinbase,eth_eur,309.94,1601535946.947201,309.93,0,309.94,0,302.41
Coinbase,eth_eur,309.94,1601535946.947563,309.93,0,309.94,0,302.41
Coinbase,eth_eur,309.94,1601535946.961403,309.93,0,310.0,0,302.41
Coinbase,btc_usd,10835.02,1601535948.006626,10835.01,0,10835.02,0,10695.19
Coinbase,btc_eur,9239.46,1601535950.344587,9239.46,0,9240.0,0,9127.62
Coinbase,btc_usd,10835.02,1601535950.548026,10835.01,0,10835.02,0,10695.19
Coinbase,eth_eur,310.0,1601535950.973246,309.99,0,310.0,0,302.41
Coinbase,eth_eur,310.0,1601535950.973887,309.99,0,310.14,0,302.41
Coinbase,btc_usd,10835.02,1601535951.526645,10835.01,0,10835.02,0,10695.19
Coinbase,btc_usd,10835.02,1601535955.301023,10835.01,0,10835.02,0,10695.19
Coinbase,btc_usd,10835.02,1601535956.742434,10835.01,0,10835.02,0,10695.19
Coinbase,btc_eur,9239.46,1601535957.144316,9239.46,0,9239.99,0,9127.62
Coinbase,btc_usd,10835.02,1601535960.583181,10835.01,0,10835.02,0,10695.19
Coinbase,btc_usd,10835.01,1601535961.63077,10835.01,0,10835.02,0,10695.19
Coinbase,btc_eur,9239.46,1601535962.811138,9239.46,0,9240.0,0,9127.62
Coinbase,eth_usd,363.69,1601535967.654308,363.69,0,363.7,0,354.71
Coinbase,eth_usd,363.69,1601535967.656356,363.69,0,363.7,0,354.71
Coinbase,eth_usd,363.69,1601535967.65671,363.69,0,363.7,0,354.71
Coinbase,eth_usd,363.69,1601535967.658979,363.69,0,363.7,0,354.71
Coinbase,eth_usd,363.69,1601535967.659461,363.48,0,363.7,0,354.71
Coinbase,eth_eur,310.09,1601535967.672372,310.09,0,310.13,0,302.41
Coinbase,eth_eur,310.08,1601535967.684406,310.08,0,310.13,0,302.41
Coinbase,btc_usd,10835.02,1601535968.232388,10835.01,0,10835.02,0,10695.19
Coinbase,btc_usd,10835.02,1601535968.314867,10835.01,0,10835.02,0,10695.19
Coinbase,eth_eur,309.96,1601535970.557657,309.91,0,310.1,0,302.41
Coinbase,eth_eur,309.91,1601535970.558096,309.91,0,310.1,0,302.41
Coinbase,eth_usd,363.59,1601535974.755507,363.56,0,363.59,0,354.71
Coinbase,btc_eur,9240.0,1601535977.164311,9239.18,0,9240.0,0,9127.62
Coinbase,btc_usd,10835.02,1601535978.416402,10835.01,0,10835.02,0,10695.19
Coinbase,btc_eur,9240.0,1601535980.571748,9239.22,0,9240.0,0,9127.62
Coinbase,btc_eur,9240.0,1601535980.572286,9239.22,0,9240.52,0,9127.62
Coinbase,btc_eur,9240.52,1601535980.572625,9239.22,0,9240.52,0,9127.62
Coinbase,btc_eur,9239.22,1601535982.138528,9238.63,0,9240.52,0,9127.62
Coinbase,btc_eur,9238.63,1601535982.139059,9238.45,0,9240.52,0,9127.62
Coinbase,btc_eur,9238.45,1601535982.139412,9238.45,0,9240.52,0,9127.62
Coinbase,eth_usd,363.59,1601535982.613961,363.58,0,363.59,0,354.71
Coinbase,btc_usd,10835.02,1601535984.290819,10835.01,0,10835.02,0,10695.19
Coinbase,eth_usd,363.59,1601535986.668216,363.58,0,363.59,0,354.71
Coinbase,btc_eur,9240.13,1601535990.715018,9239.54,0,9240.13,0,9127.62
Coinbase,btc_usd,10835.02,1601535990.904387,10835.01,0,10835.02,0,10695.19
Coinbase,eth_eur,309.99,1601535991.129301,309.98,0,310.13,0,302.41
Coinbase,eth_eur,310.13,1601535991.129804,309.98,0,310.13,0,302.41
Coinbase,btc_usd,10835.02,1601535993.363891,10835.01,0,10835.02,0,10695.19
Coinbase,btc_usd,10835.02,1601535994.031993,10835.01,0,10835.02,0,10695.19
Coinbase,btc_eur,9239.06,1601535996.117343,9239.06,0,9240.13,0,9127.62
Coinbase,btc_usd,10835.02,1601535996.332031,10835.01,0,10835.02,0,10695.19
Coinbase,btc_usd,10835.02,1601535997.340155,10835.01,0,10835.02,0,10695.19
Coinbase,btc_eur,9239.6,1601536000.940341,9238.54,0,9239.6,0,9127.62
Coinbase,btc_eur,9239.6,1601536002.158328,9238.54,0,9239.6,0,9127.62
Coinbase,btc_usd,10835.02,1601536006.145365,10835.01,0,10835.02,0,10695.19
Coinbase,eth_eur,309.98,1601536009.131212,309.95,0,309.98,0,302.41
Coinbase,eth_usd,363.59,1601536009.544728,363.58,0,363.59,0,354.71
Coinbase,btc_usd,10835.02,1601536010.080812,10835.01,0,10835.02,0,10695.19
Coinbase,eth_eur,309.98,1601536011.816738,309.98,0,310.0,0,302.41
Coinbase,eth_usd,363.59,1601536012.519053,363.58,0,363.59,0,354.71
Coinbase,btc_eur,9237.84,1601536013.240906,9237.84,0,9240.13,0,9127.62
Coinbase,btc_usd,10835.02,1601536013.933423,10835.01,0,10835.02,0,10695.19
Coinbase,btc_usd,10835.01,1601536014.326233,10835.01,0,10835.02,0,10695.19
Coinbase,eth_eur,310.07,1601536015.464492,309.99,0,310.09,0,302.41
Coinbase,eth_eur,310.09,1601536015.465013,309.99,0,310.09,0,302.41
Coinbase,btc_usd,10835.02,1601536016.766688,10835.01,0,10835.02,0,10695.19
Coinbase,eth_usd,363.59,1601536018.0578,363.58,0,363.59,0,354.71
Coinbase,btc_usd,10835.02,1601536018.080553,10835.01,0,10835.02,0,10695.19
Coinbase,eth_eur,310.0,1601536018.533625,309.99,0,310.11,0,302.41
Coinbase,eth_eur,310.11,1601536018.534107,309.99,0,310.11,0,302.41
Coinbase,eth_eur,310.11,1601536018.535333,309.99,0,310.11,0,302.41
Coinbase,btc_usd,10835.02,1601536018.835529,10835.01,0,10835.02,0,10695.19
Coinbase,btc_usd,10835.02,1601536019.535614,10835.01,0,10835.02,0,10695.19
Coinbase,btc_usd,10835.02,1601536023.314259,10835.01,0,10835.02,0,10695.19
Coinbase,btc_usd,10835.02,1601536023.448639,10835.01,0,10835.02,0,10695.19
Coinbase,btc_eur,9239.38,1601536025.84631,9238.58,0,9239.38,0,9127.62
Coinbase,btc_eur,9239.38,1601536027.956848,9238.59,0,9239.38,0,9127.62
Coinbase,btc_usd,10835.01,1601536028.470741,10835.01,0,10835.02,0,10695.19
Coinbase,btc_usd,10835.01,1601536028.472458,10835.01,0,10835.02,0,10695.19
Coinbase,eth_usd,363.59,1601536029.891156,363.58,0,363.59,0,354.71
Coinbase,eth_usd,363.59,1601536029.891631,363.58,0,363.59,0,354.71
Coinbase,eth_usd,363.59,1601536029.892611,363.58,0,363.59,0,354.71
Coinbase,eth_usd,363.59,1601536029.893035,363.58,0,363.59,0,354.71
Coinbase,eth_usd,363.59,1601536029.893739,363.58,0,363.63,0,354.71
Coinbase,btc_usd,10835.01,1601536030.934239,10835.01,0,10835.02,0,10695.19
Coinbase,btc_usd,10835.01,1601536030.936469,10835.01,0,10835.02,0,10695.19
Coinbase,btc_usd,10835.02,1601536032.758482,10835.01,0,10835.02,0,10695.19
Coinbase,eth_usd,363.58,1601536033.869004,363.58,0,363.59,0,354.71
Coinbase,eth_eur,310.04,1601536035.082492,309.98,0,310.04,0,302.41
Coinbase,btc_usd,10835.02,1601536035.694372,10835.01,0,10835.02,0,10695.19
Coinbase,eth_usd,363.59,1601536036.119686,363.58,0,363.59,0,354.71
Coinbase,eth_usd,363.59,1601536036.120124,363.58,0,363.59,0,354.71
Coinbase,eth_usd,363.59,1601536038.147069,363.58,0,363.59,0,354.71
Coinbase,eth_usd,363.59,1601536039.020681,363.58,0,363.66,0,354.71
Coinbase,eth_usd,363.59,1601536039.385808,363.58,0,363.59,0,354.71
Coinbase,btc_usd,10835.02,1601536040.404236,10835.01,0,10835.02,0,10695.19
Coinbase,eth_usd,363.59,1601536041.11192,363.58,0,363.59,0,354.71
Coinbase,btc_eur,9239.38,1601536042.129401,9239.17,0,9239.38,0,9127.62
Coinbase,eth_usd,363.59,1601536043.49238,363.58,0,363.59,0,354.71
Coinbase,btc_usd,10835.02,1601536043.637906,10835.01,0,10835.02,0,10695.19
Coinbase,btc_usd,10835.02,1601536045.387452,10835.01,0,10835.02,0,10695.19
Coinbase,eth_usd,363.58,1601536045.45252,363.58,0,363.59,0,354.71
Coinbase,eth_eur,310.01,1601536045.680695,310.01,0,310.13,0,302.41
Coinbase,btc_eur,9239.21,1601536046.172531,9239.21,0,9239.38,0,9127.62
Coinbase,eth_eur,310.04,1601536049.779206,310.04,0,310.13,0,302.41
Coinbase,btc_usd,10835.01,1601536050.319953,10835.01,0,10835.02,0,10695.19
Coinbase,eth_eur,310.13,1601536052.141573,310.04,0,310.13,0,302.41
Coinbase,btc_usd,10835.02,1601536052.478041,10835.01,0,10835.02,0,10695.19
Coinbase,btc_usd,10835.02,1601536055.614234,10835.01,0,10835.02,0,10695.19
Coinbase,btc_usd,10835.01,1601536055.943183,10835.01,0,10835.02,0,10695.19
Coinbase,btc_usd,10835.02,1601536056.705631,10835.01,0,10835.02,0,10695.19
Coinbase,btc_usd,10835.02,1601536057.515845,10835.01,0,10835.02,0,10695.19
Coinbase,btc_usd,10835.02,1601536057.862395,10835.01,0,10835.02,0,10695.19
Coinbase,eth_usd,363.59,1601536059.376221,363.58,0,363.59,0,354.71
Coinbase,btc_usd,10835.02,1601536059.857288,10835.01,0,10835.02,0,10695.19
Coinbase,btc_eur,9239.31,1601536061.089738,9239.23,0,9239.31,0,9127.62
Coinbase,eth_usd,363.59,1601536062.564684,363.58,0,363.59,0,354.71
Coinbase,btc_eur,9239.3,1601536065.561852,9239.23,0,9239.31,0,9127.62
Coinbase,btc_eur,9239.31,1601536065.562405,9239.23,0,9239.31,0,9127.62
Coinbase,btc_usd,10835.02,1601536066.156118,10835.01,0,10835.02,0,10695.19
Coinbase,btc_usd,10835.01,1601536066.368121,10835.01,0,10835.02,0,10695.19
Coinbase,btc_usd,10835.01,1601536066.389797,10835.01,0,10835.02,0,10695.19
Coinbase,btc_usd,10835.01,1601536067.818885,10835.01,0,10835.02,0,10695.19
Coinbase,btc_usd,10835.02,1601536073.667859,10835.01,0,10835.02,0,10695.19
Coinbase,btc_eur,9239.31,1601536074.008365,9239.23,0,9239.31,0,9127.62
Coinbase,btc_eur,9239.23,1601536074.34736,9239.23,0,9239.31,0,9127.62
Coinbase,eth_usd,363.58,1601536074.564536,363.58,0,363.59,0,354.71
Coinbase,btc_usd,10835.02,1601536083.420229,10835.01,0,10835.02,0,10695.19
Coinbase,eth_eur,310.02,1601536085.531815,310.01,0,310.06,0,302.41
Coinbase,eth_eur,310.06,1601536085.532371,310.01,0,310.06,0,302.41
Coinbase,eth_eur,310.06,1601536085.537734,310.01,0,310.07,0,302.41
Coinbase,eth_eur,310.07,1601536085.538563,310.01,0,310.07,0,302.41
Coinbase,btc_usd,10835.01,1601536086.725198,10835.01,0,10835.02,0,10695.19
Coinbase,eth_usd,363.58,1601536087.543445,363.58,0,363.59,0,354.71
Coinbase,eth_usd,363.58,1601536087.544036,363.58,0,363.59,0,354.71
Coinbase,eth_usd,363.58,1601536087.545583,363.58,0,363.59,0,354.71
Coinbase,eth_usd,363.58,1601536087.5466,363.58,0,363.59,0,354.71
Coinbase,eth_usd,363.58,1601536087.546982,363.44,0,363.59,0,354.71
Coinbase,btc_eur,9238.79,1601536087.656012,9238.79,0,9239.31,0,9127.62
Coinbase,eth_eur,310.01,1601536087.924222,309.91,0,310.06,0,302.41
Coinbase,btc_usd,10835.02,1601536088.409105,10835.01,0,10835.02,0,10695.19
Coinbase,btc_usd,10835.02,1601536089.055454,10835.01,0,10835.02,0,10695.19
