Plateforme,Asset,Quote,Datetime,Bid,BidAmount,Ask,AskAmount,OpenInterest
Deribit,btc_usd,10715.99,1601991175.523,10714.5,440710.0,10715.0,71950.0,94471570
Deribit,eth_usd,347.31,1601991175.442,347.05,90020.0,347.1,826.0,27474198
Deribit,btc_usd,10716.06,1601991175.877,10714.5,443910.0,10715.0,71950.0,94471570
Deribit,btc_usd,10716.06,1601991175.906,10714.5,447110.0,10715.0,71950.0,94471570
Deribit,btc_usd,10716.06,1601991175.906,10714.5,453510.0,10715.0,71950.0,94471570
Deribit,btc_usd,10716.06,1601991175.929,10714.5,456710.0,10715.0,71950.0,94471570
Deribit,eth_usd,347.31,1601991176.278,347.05,90020.0,347.1,3926.0,27474198
Deribit,eth_usd,347.31,1601991176.771,347.05,90020.0,347.1,826.0,27474198
Deribit,btc_usd,10716.03,1601991176.989,10714.5,461710.0,10715.0,71950.0,94471570
Deribit,eth_usd,347.31,1601991177.267,347.05,90020.0,347.1,4026.0,27474198
Deribit,eth_usd,347.31,1601991177.694,347.05,90020.0,347.1,826.0,27474198
Deribit,eth_usd,347.31,1601991178.141,347.05,90020.0,347.1,26.0,27474198
Deribit,btc_usd,10716.09,1601991179.64,10714.5,464910.0,10715.0,71950.0,94471570
Deribit,btc_usd,10716.28,1601991179.674,10714.5,464910.0,10715.0,71960.0,94471570
Deribit,btc_usd,10716.28,1601991180.122,10714.5,464910.0,10715.0,71050.0,94470660
Deribit,eth_usd,347.32,1601991180.827,347.05,90020.0,347.1,31.0,27474198
Deribit,btc_usd,10716.26,1601991181.957,10714.5,464920.0,10715.0,71050.0,94470660
Deribit,btc_usd,10716.26,1601991182.086,10714.5,464920.0,10715.0,59750.0,94462760
Deribit,btc_usd,10716.26,1601991182.102,10714.5,464800.0,10715.0,59750.0,94462760
Deribit,btc_usd,10716.26,1601991182.109,10714.5,464800.0,10715.0,42650.0,94445660
Deribit,btc_usd,10716.26,1601991182.112,10714.5,464800.0,10715.0,27650.0,94430660
Deribit,btc_usd,10716.26,1601991182.112,10714.5,464800.0,10715.0,27640.0,94430660
Deribit,btc_usd,10716.26,1601991182.113,10714.5,464800.0,10715.0,24230.0,94427250
Deribit,btc_usd,10716.26,1601991182.114,10714.5,468000.0,10715.0,24230.0,94427250
Deribit,btc_usd,10716.26,1601991182.115,10714.5,471200.0,10715.0,24230.0,94427250
Deribit,btc_usd,10716.26,1601991182.115,10714.5,474400.0,10715.0,24230.0,94427250
Deribit,btc_usd,10716.26,1601991182.116,10714.5,471200.0,10715.0,24230.0,94427250
Deribit,btc_usd,10716.26,1601991182.116,10714.5,477600.0,10715.0,24230.0,94427250
Deribit,btc_usd,10716.26,1601991182.117,10714.5,482600.0,10715.0,24230.0,94427250
Deribit,btc_usd,10716.26,1601991182.118,10714.5,482600.0,10715.0,10290.0,94413310
Deribit,btc_usd,10716.26,1601991182.119,10714.5,482600.0,10715.0,8040.0,94411060
Deribit,btc_usd,10716.26,1601991182.12,10714.5,482600.0,10715.0,6830.0,94411060
Deribit,eth_usd,347.33,1601991182.121,347.05,110020.0,347.1,31.0,27474198
Deribit,btc_usd,10716.26,1601991182.122,10714.5,482600.0,10715.0,3630.0,94411060
Deribit,btc_usd,10716.26,1601991182.122,10714.5,485800.0,10715.0,3630.0,94411060
Deribit,btc_usd,10716.26,1601991182.123,10714.5,482600.0,10715.0,3630.0,94411060
Deribit,btc_usd,10716.26,1601991182.125,10714.5,479400.0,10715.0,3630.0,94411060
Deribit,btc_usd,10716.26,1601991182.125,10715.0,2970.0,10715.5,60.0,94411200
Deribit,btc_usd,10716.26,1601991182.127,10716.0,9890.0,10716.5,1780.0,94410860
Deribit,btc_usd,10716.26,1601991182.135,10716.0,13090.0,10716.5,1780.0,94410860
Deribit,btc_usd,10716.26,1601991182.136,10716.0,16290.0,10716.5,1780.0,94410860
Deribit,btc_usd,10716.26,1601991182.137,10716.0,16290.0,10716.5,1770.0,94410860
Deribit,btc_usd,10716.26,1601991182.142,10716.0,16390.0,10716.5,1770.0,94410860
Deribit,btc_usd,10716.26,1601991182.143,10716.0,22790.0,10716.5,1770.0,94410860
Deribit,btc_usd,10716.26,1601991182.144,10716.0,27790.0,10716.5,1770.0,94410860
Deribit,btc_usd,10716.26,1601991182.146,10716.0,30990.0,10716.5,1770.0,94410860
Deribit,btc_usd,10716.26,1601991182.149,10716.0,34190.0,10716.5,1770.0,94410860
Deribit,btc_usd,10716.26,1601991182.151,10716.0,37390.0,10716.5,1770.0,94410860
Deribit,btc_usd,10716.26,1601991182.156,10716.0,37390.0,10716.5,1550.0,94410860
Deribit,btc_usd,10716.26,1601991182.157,10716.0,183320.0,10716.5,1550.0,94410860
Deribit,btc_usd,10716.26,1601991182.159,10716.0,189720.0,10716.5,1550.0,94410860
Deribit,btc_usd,10716.26,1601991182.161,10716.0,191520.0,10716.5,1550.0,94410860
Deribit,btc_usd,10716.26,1601991182.164,10716.0,211520.0,10716.5,1550.0,94410860
Deribit,btc_usd,10716.26,1601991182.167,10716.0,214020.0,10716.5,1550.0,94410860
Deribit,btc_usd,10716.26,1601991182.172,10716.0,217220.0,10716.5,1550.0,94410860
Deribit,btc_usd,10716.26,1601991182.173,10716.0,220420.0,10716.5,1550.0,94410860
Deribit,btc_usd,10716.26,1601991182.179,10716.0,226820.0,10716.5,1550.0,94410860
Deribit,btc_usd,10716.26,1601991182.18,10716.0,230020.0,10716.5,1550.0,94410860
Deribit,btc_usd,10716.26,1601991182.181,10716.0,226820.0,10716.5,1550.0,94410860
Deribit,btc_usd,10716.26,1601991182.182,10716.0,223620.0,10716.5,1550.0,94410860
Deribit,btc_usd,10716.26,1601991182.186,10716.0,223620.0,10716.5,1510.0,94410860
Deribit,btc_usd,10716.26,1601991182.188,10716.0,217220.0,10716.5,1510.0,94410860
Deribit,btc_usd,10716.26,1601991182.189,10716.0,214020.0,10716.5,1510.0,94410860
Deribit,btc_usd,10716.26,1601991182.19,10716.0,210820.0,10716.5,1510.0,94410860
Deribit,btc_usd,10716.26,1601991182.191,10716.0,207620.0,10716.5,1510.0,94410860
Deribit,eth_usd,347.33,1601991182.191,347.05,110020.0,347.2,12038.0,27474187
Deribit,btc_usd,10716.26,1601991182.192,10716.0,279020.0,10716.5,1510.0,94410860
Deribit,btc_usd,10716.26,1601991182.193,10716.0,272620.0,10716.5,1510.0,94410860
Deribit,eth_usd,347.33,1601991182.199,347.15,120.0,347.2,12038.0,27474187
Deribit,eth_usd,347.33,1601991182.201,347.15,9820.0,347.2,12038.0,27474187
Deribit,btc_usd,10716.26,1601991182.207,10716.0,308110.0,10716.5,1510.0,94410860
Deribit,btc_usd,10716.26,1601991182.211,10716.0,361710.0,10716.5,1510.0,94410860
Deribit,eth_usd,347.33,1601991182.213,347.15,11820.0,347.2,12038.0,27474187
Deribit,eth_usd,347.33,1601991182.216,347.15,94910.0,347.2,12038.0,27474187
Deribit,btc_usd,10716.26,1601991182.214,10716.0,361710.0,10717.0,520.0,94410400
Deribit,eth_usd,347.33,1601991182.22,347.15,94910.0,347.2,6085.0,27474187
Deribit,btc_usd,10716.26,1601991182.224,10716.5,6400.0,10717.0,520.0,94410400
Deribit,btc_usd,10716.26,1601991182.225,10716.5,9600.0,10717.0,520.0,94410400
Deribit,btc_usd,10716.26,1601991182.225,10716.5,12800.0,10717.0,520.0,94410400
Deribit,btc_usd,10716.26,1601991182.226,10716.5,16000.0,10717.0,520.0,94410400
Deribit,btc_usd,10716.26,1601991182.227,10716.5,18300.0,10717.0,520.0,94410400
Deribit,btc_usd,10716.26,1601991182.227,10716.5,20600.0,10717.0,520.0,94410400
Deribit,btc_usd,10716.26,1601991182.228,10716.5,23100.0,10717.0,520.0,94410400
Deribit,btc_usd,10716.26,1601991182.232,10716.5,25600.0,10717.0,520.0,94410400
Deribit,btc_usd,10716.26,1601991182.233,10716.5,45600.0,10717.0,520.0,94410400
Deribit,btc_usd,10716.26,1601991182.234,10716.5,48100.0,10717.0,520.0,94410400
Deribit,btc_usd,10716.26,1601991182.237,10716.5,49900.0,10717.0,520.0,94410400
Deribit,eth_usd,347.33,1601991182.24,347.15,95410.0,347.2,6085.0,27474187
Deribit,btc_usd,10716.26,1601991182.246,10716.5,56300.0,10717.0,520.0,94410400
Deribit,btc_usd,10716.26,1601991182.247,10716.5,59500.0,10717.0,520.0,94410400
Deribit,btc_usd,10716.26,1601991182.248,10716.5,62700.0,10717.0,520.0,94410400
Deribit,btc_usd,10716.26,1601991182.249,10716.5,65900.0,10717.0,520.0,94410400
Deribit,btc_usd,10716.26,1601991182.25,10717.5,10100.0,10718.0,25160.0,94410200
Deribit,btc_usd,10716.26,1601991182.26,10717.5,13300.0,10718.0,25160.0,94410200
Deribit,btc_usd,10716.26,1601991182.261,10717.5,19700.0,10718.0,25160.0,94410200
Deribit,btc_usd,10716.26,1601991182.263,10717.5,22900.0,10718.0,25160.0,94410200
Deribit,btc_usd,10716.26,1601991182.264,10717.5,26100.0,10718.0,25160.0,94410200
Deribit,btc_usd,10716.26,1601991182.266,10717.5,26100.0,10718.0,23560.0,94411790
Deribit,btc_usd,10716.26,1601991182.271,10717.5,79690.0,10718.0,23560.0,94411790
Deribit,btc_usd,10716.26,1601991182.272,10717.5,81490.0,10718.0,23560.0,94411790
Deribit,eth_usd,347.33,1601991182.273,347.15,95420.0,347.2,6085.0,27474187
Deribit,btc_usd,10716.26,1601991182.275,10717.5,81490.0,10718.0,23570.0,94411790
Deribit,btc_usd,10716.26,1601991182.279,10717.5,101490.0,10718.0,23570.0,94411790
Deribit,btc_usd,10716.26,1601991182.28,10717.5,146990.0,10718.0,23570.0,94411790
Deribit,btc_usd,10716.26,1601991182.286,10717.5,146990.0,10718.0,23560.0,94411790
Deribit,btc_usd,10716.26,1601991182.29,10717.5,153390.0,10718.0,23560.0,94411790
Deribit,btc_usd,10716.26,1601991182.29,10717.5,156590.0,10718.0,23560.0,94411790
Deribit,btc_usd,10716.26,1601991182.291,10717.5,159790.0,10718.0,23560.0,94411790
