Plateforme,Asset,Quote,Datetime,Bid,BidAmount,Ask,AskAmount,OpenInterest
Kraken,btc_usd,10890.6,1601554214.51716,10886.3,0.0203,10890.7,8.41031243,10853.20905
Kraken,btc_eur,9260.7,1601554214.518179,9260.7,0.28895366,9260.8,4.63823748,9244.35729
Kraken,eth_usd,367.93,1601554214.518591,367.93,25.58349902,367.94,63.76288569,363.09644
Kraken,eth_eur,312.96,1601554214.519016,312.9,57.36745502,312.96,7.896,311.07392
Kraken,btc_eur,9260.1,1601554215.968505,9260.0,0.0607,9260.1,3.9300635,9244.35742
Kraken,btc_eur,9260.0,1601554216.43461,9259.4,2.57428,9260.1,3.9506245,9244.35786
Kraken,btc_eur,9259.5,1601554219.599612,9259.4,2.57428,9259.5,2.58247104,9244.35794
Kraken,btc_eur,9259.5,1601554220.077682,9259.4,2.57428,9259.5,2.58247104,9244.35802
Kraken,eth_usd,367.93,1601554222.797945,367.93,59.23970686,367.94,231.61475229,363.09902
Kraken,eth_usd,367.93,1601554222.894309,367.85,64.5064,367.94,246.61475229,363.11235
Kraken,btc_eur,9259.5,1601554223.12161,9259.4,2.17428,9259.5,2.34461104,9244.35975
Kraken,btc_eur,9259.5,1601554225.905271,9259.4,2.17428,9259.5,2.45932766,9244.35982
Kraken,btc_eur,9259.4,1601554226.578603,9259.4,2.1717736,9259.5,2.45932766,9244.35983
Kraken,eth_usd,367.85,1601554227.236123,367.85,63.90481949,367.86,235.86089742,363.11249
Kraken,eth_usd,367.85,1601554227.508624,367.85,0.68881949,367.86,235.86089742,363.1264
Kraken,eth_usd,367.85,1601554228.257944,367.8,3.5,367.86,235.47030856,363.12655
Kraken,btc_usd,10886.3,1601554231.831681,10886.3,0.01487279,10886.4,9.4708414,10853.20918
Kraken,btc_usd,10886.3,1601554234.120678,10883.3,0.13620094,10886.4,9.4708414,10853.20956
Kraken,btc_usd,10882.5,1601554236.341617,10882.4,0.689,10883.4,0.28724524,10853.21114
Kraken,btc_eur,9259.5,1601554236.86701,9259.4,2.1717736,9259.5,2.20912766,9244.36157
Kraken,eth_eur,312.84,1601554243.868623,312.83,0.22682,312.84,111.18818714,311.07737
